saleyear,salemonth,salesprice,area,beds,baths,stories,yearbuilt,neighborhood,community,lotsize,numfireplaces,fireplace
2005,10,699271.5218,2864,4,3,2,1935,Lynnhurst,Southwest,6300,2,TRUE
2008,12,251240.5226,1961,3,1,1.2,1930,Waite Park,Northeast,5040,1,TRUE
2015,7,202547.0647,2052,1,2,2,1912,Waite Park,Northeast,5000,0,FALSE
2014,11,366636.7967,2298,3,2,1.7,1910,Linden Hills,Southwest,5670,0,FALSE
2007,8,437017.1862,1898,4,2,1.5,1911,Linden Hills,Southwest,5535,0,FALSE
2012,10,378436.0079,2257,3,2,1.2,1942,Armatage,Southwest,6350,1,TRUE
2010,5,444953.7484,1970,3,1,1,1947,Armatage,Southwest,5120,1,TRUE
2006,9,222481.2623,2370,3,2,1.5,1910,Jordan,Near North,5325,0,FALSE
2005,6,270868.2705,1952,3,1,1,1955,Columbia Park,Northeast,7360,0,FALSE
2009,11,317482.1621,2544,3,3,1.7,1911,Powderhorn Park,Powderhorn,5052,0,FALSE
2015,4,161425.1408,1782,2,1,1.2,1911,Holland,Northeast,5084,0,FALSE
2015,4,708349.6711,2647,3,3,2,1940,Kenwood,Calhoun-Isles,7405,1,TRUE
2006,4,167001.0962,924,1,1,1,1915,Victory,Camden,5151,0,FALSE
2010,8,580900.5199,3060,4,3,1.7,1910,Kenwood,Calhoun-Isles,4410,1,TRUE
2005,9,207504.2254,1552,2,1,1,1923,Hiawatha,Longfellow,5418,0,FALSE
2015,4,281593.5518,1932,4,2,1.2,1954,Como,University,5120,0,FALSE
2008,6,193252.7005,3513,3,1,2,1951,Waite Park,Northeast,6507,0,FALSE
2015,5,220998.838,2264,3,2,1,1959,Wenonah,Nokomis,6400,0,FALSE
2005,2,198192.1497,1864,4,1,1,1950,Folwell,Camden,5722,0,FALSE
2015,3,154054.5818,2246,3,3,1.2,1956,Victory,Camden,5062,0,FALSE
2015,6,278265.9715,2280,4,2,1.2,1925,Longfellow,Longfellow,5120,0,FALSE
2005,2,302278.5394,2590,3,1,1.2,1925,Regina,Nokomis,4640,1,TRUE
2005,4,392659.1637,1670,2,1,1.7,1924,Bryn - Mawr,Calhoun-Isles,6750,1,TRUE
2005,7,350555.9774,2234,3,2,1.2,1927,Northrop,Nokomis,5270,1,TRUE
2006,7,201532.2149,1440,2,1,1.2,1951,Lind - Bohanon,Camden,6505,0,FALSE
2015,9,320247.2442,2173,3,2,1.5,1921,Howe,Longfellow,5040,0,FALSE
2009,6,276081.3818,1568,2,1,1,1923,Bryn - Mawr,Calhoun-Isles,3900,0,FALSE
2005,10,246039.9799,1676,3,1,1.2,1916,Jordan,Near North,5374,0,FALSE
2006,7,221100.9167,1204,1,1,1,1922,Hiawatha,Longfellow,5120,0,FALSE
2005,7,760640.3284,3012,4,3,2,1947,Kenny,Southwest,5760,2,TRUE
2009,11,192269.5711,1868,3,1,1.2,1948,Regina,Nokomis,5120,1,TRUE
2012,6,248207.103,1858,3,3,1,1984,Hiawatha,Longfellow,5418,1,TRUE
2012,2,161020.7306,1728,2,1,1,1922,Field,Nokomis,4720,0,FALSE
